job_title,company_name,posting_date,job_type,industry,stipend,location
Trainee Technical Professional,HLS Asia Limited,"22 Nov 2024, 04:44 PM",Full Time,Core Engineering,"INR 9,00,000  - INR 11,00,000","Multiple locations <span class=""jss260"">&gt;</span>"
Graduate Engineering Trainee - Customer Service,A.O. Smith India Water Products Private Limited,"21 Nov 2024, 08:31 PM",Full Time,Core Engineering,"INR 5,50,000 ",PAN India
Software Engineer Intern,Zanskar,"21 Nov 2024, 08:12 PM",Internship,IT / ITES,"INR 40,000 ","Gandhinagar, Gujarat, India"
Data Science Intern - LLM / Prompt Engineering,Blink Analytics,"21 Nov 2024, 12:13 PM",Internship,IT Product &amp; Services,"INR 15,000 ","Ahmedabad, Gujarat, India"
Business Development Associate - 2025 Batch,PlanetSpark,"21 Nov 2024, 10:23 AM",Confident,Interpersonal Communication,Interpersonal Skills,Sales &amp; Marketing
"Quality Assurance Intern, Software Development Intern",Eclat Engineering Private Limited,"21 Nov 2024, 10:10 AM",Internship + Full-Time,IT / ITES,"INR 3,30,000  - INR 5,00,000","Ahmedabad, Gujarat, India"
Research Intern,CLOUDTHAT TECHNOLOGIES PRIVATE LIMITED,"19 Nov 2024, 03:07 PM",Internship + Full-Time,IT Product &amp; Services,"INR 4,00,000  - INR 7,00,000","Ahmedabad, Gujarat, India"
Graduate Engineer Trainee,KEBA India Private Limited,"19 Nov 2024, 02:41 PM",Internship + Full-Time,Core Engineering,"INR 4,00,000 ","Ahmedabad, Gujarat, India"
Digital Construction Engineer,Visilean Limited,"18 Nov 2024, 07:55 PM",Full Time,Construction &amp; Engineering,"INR 3,00,000 ","Ahmedabad, Gujarat, India"
Graduate Engineer Trainee,Emerson Automation Solutions,"18 Nov 2024, 07:39 PM",Full Time,Core Electrical Engineering / Manufacturing,"INR 6,00,000 ","Pune City, Maharashtra, India"
"Technical Trainee, Engineer",Baxter Pharmaceuticals India Privet Limited,"18 Nov 2024, 06:25 PM",Full Time,Bio Technology &amp; Life Sciences,"INR 7,39,000 ","Ahmedabad, Gujarat, India"
Graduate Engineer Trainee,CBM Engineers India,"18 Nov 2024, 05:56 PM",Full Time,Construction &amp; Engineering,"INR 4,20,000 ","Multiple locations <span class=""jss260"">&gt;</span>"
Graduate Engineer Trainee,Kirloskar Oil Engines Ltd.,"16 Nov 2024, 02:22 PM",Internship + Full-Time,"INR 7,26,000 ","Sanand, Gujarat, India"," 17 Nov, 2024
             -
            02:30 PM"
Junior Developer / Engineer,Inventyv Software Services Private Limited,"16 Nov 2024, 12:50 PM",Internship + Full-Time,IT Product &amp; Services,"INR 4,80,000 ","Ahmedabad, Gujarat, India"
